transaction_id,timestamp,price,department
qsllwzfgsu,815725,67,Movies
ldfdvwgsxa,863206,18,Groceries
glvkzgxobb,846203,58,Computer
gnrowryred,865632,48,Computer
wulekumebr,871200,47,Music
mudonayuog,865647,26,Groceries
xycfertiwm,835662,37,Music
jezmgvkcfh,883012,50,Groceries
wldyhjgwbm,826626,85,Books
jwqmpbxuhg,830255,62,Music
wwbvovukzk,883079,93,Movies
yqrliffwln,817766,98,MISC
dbqbjeupcc,811894,95,Groceries
ugbdqvafok,867874,98,Movies
drvvfsukzz,820355,70,Music
dxzwnbyaew,866978,59,Books
hvogwqqomb,879565,19,Movies
tjtxjmckvb,815631,28,MISC
umrbdqjdim,857324,31,Movies
qefbrneymv,824134,27,Music
xaakybfcib,803316,76,Computer
xzjzlwrsgr,808747,59,MISC
jukrlmgcqy,874423,26,Books
qldqkrteql,842964,57,Computer
xparscjhpi,870162,82,Computer
hqaobxlrcj,879923,45,MISC
drjbyjkdth,889833,49,Music
undueijvcw,826587,50,Groceries
rgxlofaqre,864579,12,MISC
kebwzkicnk,868057,4,Groceries
fbiyiqswlq,829427,95,Computer
hltvhdriez,817495,15,Groceries
pilltrcrvy,860281,71,Movies
zxmnjtsmde,898742,28,Computer
oigvwtizpt,812221,75,Groceries
swfsnyzjwq,885620,66,MISC
ktbcczacxf,845072,6,Music
kpaqbztsrx,809325,87,Groceries
ewylqvtfyz,814632,26,MISC
rpieawrkph,863232,36,MISC
agnrqrljkg,897665,84,Movies
nmciorzbms,897182,8,MISC
hpeoeeviql,826684,66,Movies
rchjnivyte,837630,77,Groceries
pemsenbljt,898092,52,Music
xypsbchyiw,863430,14,Movies
swlidvqesv,821868,64,Movies
agbvzfklnl,889719,97,Computer
ejkcdsyzym,849576,89,Movies
tgaocksyrg,827386,64,Books
bvelpfvilq,824045,78,Music
xekhzndehd,848334,7,Computer
kkxzakhyxw,821726,71,Music
skixzhplft,812151,75,Movies
dvavdxidmh,841420,26,Books
dxucernfsn,891633,8,MISC
rgsvvbypgv,834220,2,Computer
cvmmlqvyqy,801230,57,Computer
tbenkxnujj,818947,18,Music
iwmlkvypcs,819671,70,Computer
evoykxmjts,810802,3,Books
hmjbcypurr,830510,46,Computer
laubhzfgzx,874659,19,Groceries
mvltzfqbyw,890798,55,Computer
kdswoyzbrp,880849,63,Groceries
bxekbvciuk,850827,27,Movies
cigehqrtxp,898296,76,Books
tsatbicgde,847738,59,Groceries
yshsopacui,890519,26,Groceries
mguozcmfbf,882361,4,Groceries
osqdqueigi,810958,86,Groceries
uwofloslim,852726,49,Music
pnwbjzrsdj,815319,88,Movies
rxkmhznvdj,869957,57,Movies
mibmtuciiy,814985,67,MISC
vjkcjxfwlk,870725,10,Groceries
bhhrectdoq,871196,67,Books
usqrphzrwv,842724,4,Music
ekivpkqfgt,848899,24,Groceries
atvdidvfba,830391,35,MISC
ndtpslhnub,837719,86,Computer
nqotepzviu,880273,59,Books
jpkhjyhext,838189,11,Music
jcyhfmrypj,817141,97,Computer
