dates,user_id,receiver_id,action
2020-01-30,100,246,Sent
2020-01-01,100,895,Received
2020-05-03,100,895,Connected
2020-02-06,101,678,Sent
2020-04-14,101,678,Connected
2020-01-03,101,790,Sent
2020-05-08,101,313,Sent
2020-06-11,101,313,Connected
2020-02-02,101,161,Sent
2020-02-10,102,493,Received
2020-05-29,102,493,Connected
2020-03-21,102,502,Received
2020-04-25,102,502,Connected
2020-02-26,102,296,Received
2020-03-05,102,296,Connected
2020-01-01,102,346,Sent
2020-03-17,102,346,Connected
2020-02-25,102,989,Sent
2020-05-23,102,989,Connected
2020-01-17,103,481,Sent
2020-03-20,103,481,Connected
2020-03-28,103,481,Blocked
2020-02-10,104,688,Received
2020-04-13,104,688,Connected
2020-05-28,104,544,Sent
2020-06-16,104,544,Connected
2020-03-02,104,744,Sent
2020-03-28,104,744,Connected
2020-06-24,104,744,Blocked
2020-03-12,104,608,Received
2020-04-29,104,608,Connected
2020-06-06,104,608,Blocked
2020-02-12,105,292,Sent
2020-05-03,105,292,Connected
2020-05-19,105,292,Blocked
2020-01-19,106,566,Sent
2020-04-10,106,566,Connected
2020-05-01,107,470,Sent
2020-06-11,107,470,Connected
2020-01-30,107,978,Sent
2020-02-20,107,415,Received
2020-03-12,107,415,Connected
2020-06-20,107,415,Blocked
2020-03-14,107,359,Sent
2020-02-08,108,773,Sent
2020-03-16,108,576,Sent
2020-04-08,108,428,Sent
2020-05-15,108,428,Connected
2020-06-01,109,961,Received
2020-06-02,109,961,Connected
2020-04-30,109,415,Sent
2020-04-25,109,724,Received
2020-04-09,109,924,Received
2020-06-22,110,531,Sent
2020-02-29,110,257,Sent
2020-06-01,110,542,Sent
2020-02-04,110,185,Received
2020-04-19,110,185,Connected
2020-03-18,110,188,Received
2020-06-17,110,188,Connected
2020-04-12,111,649,Received
2020-02-01,111,511,Sent
2020-02-07,111,511,Connected
2020-02-21,112,955,Received
2020-05-04,113,230,Received
2020-06-22,113,230,Connected
2020-01-13,113,685,Sent
2020-04-18,113,685,Connected
2020-02-10,114,584,Received
2020-06-01,114,584,Connected
2020-02-19,115,434,Received
2020-05-25,115,434,Connected
2020-01-11,115,956,Sent
2020-02-04,115,956,Connected
2020-02-11,116,531,Sent
2020-06-23,116,531,Connected
2020-02-16,116,477,Sent
2020-04-16,116,465,Received
2020-04-29,116,465,Connected
2020-03-31,116,348,Received
2020-04-04,116,348,Connected
2020-05-23,116,348,Blocked
2020-01-30,116,484,Received
2020-04-18,116,484,Connected
2020-03-01,117,477,Sent
2020-02-05,117,256,Received
2020-04-07,117,256,Connected
2020-04-27,117,256,Blocked
2020-01-29,117,490,Received
2020-04-09,117,490,Connected
2020-06-12,117,490,Blocked
2020-01-07,117,742,Received
2020-04-16,117,901,Received
2020-05-25,117,901,Connected
2020-01-08,118,318,Sent
2020-03-21,118,318,Connected
2020-01-08,118,457,Received
2020-06-18,118,457,Connected
2020-03-05,119,151,Received
2020-03-18,119,151,Connected
2020-03-29,119,444,Sent
2020-05-28,119,444,Connected
2020-01-15,120,496,Received
2020-04-20,120,637,Sent
2020-06-03,120,637,Connected
2020-01-26,121,263,Sent
2020-01-28,121,263,Connected
2020-05-25,121,263,Blocked
2020-02-12,121,428,Received
2020-06-17,121,428,Connected
2020-06-29,121,639,Received
2020-05-08,121,931,Received
2020-03-10,121,858,Received
2020-02-18,122,220,Received
2020-05-22,122,220,Connected
2020-02-08,122,994,Sent
2020-03-18,122,994,Connected
2020-01-22,123,366,Sent
2020-01-30,124,211,Received
2020-02-16,124,211,Connected
2020-01-26,125,764,Sent
2020-02-16,125,764,Connected
2020-01-13,126,294,Received
2020-05-08,126,493,Sent
2020-03-11,127,893,Sent
2020-03-14,127,893,Connected
2020-04-26,127,526,Sent
2020-03-30,127,120,Sent
2020-06-09,127,120,Connected
2020-03-16,127,419,Sent
2020-03-16,128,715,Received
2020-06-04,128,715,Connected
2020-05-09,128,665,Received
2020-06-08,128,665,Connected
2020-04-06,128,579,Received
2020-03-14,129,271,Received
2020-02-04,129,179,Received
2020-04-03,129,179,Connected
2020-02-10,129,261,Received
2020-04-17,129,261,Connected
2020-03-11,130,368,Sent
2020-04-24,130,740,Sent
2020-05-21,130,740,Connected
2020-06-20,130,740,Blocked
2020-06-19,131,306,Sent
2020-01-02,132,381,Sent
2020-01-03,132,381,Connected
2020-02-03,132,405,Sent
2020-04-03,132,405,Connected
2020-02-09,132,735,Received
2020-04-18,132,735,Connected
2020-02-28,132,947,Received
2020-05-20,132,947,Connected
2020-04-07,132,505,Sent
2020-05-23,132,505,Connected
2020-06-04,133,502,Received
2020-07-01,133,502,Connected
2020-04-13,133,771,Sent
2020-06-21,133,771,Connected
2020-03-11,133,775,Sent
2020-04-01,133,775,Connected
2020-02-23,133,652,Sent
2020-01-16,134,710,Sent
2020-06-05,134,710,Connected
2020-06-09,134,936,Received
2020-03-18,134,306,Received
2020-06-20,134,306,Connected
2020-02-27,134,591,Received
2020-06-07,135,800,Received
2020-02-08,135,391,Sent
2020-07-01,135,391,Connected
2020-02-13,135,576,Received
2020-05-03,135,576,Connected
2020-05-23,135,421,Sent
2020-03-06,136,799,Received
2020-02-03,136,160,Sent
2020-03-17,136,160,Connected
2020-01-25,137,971,Sent
2020-02-11,137,529,Sent
2020-05-13,137,529,Connected
2020-06-02,137,977,Sent
2020-01-30,137,304,Received
2020-03-26,137,304,Connected
